Time;Data
4.18.17 3:00;50298,7264
4.18.17 4:00;59121,39713
4.18.17 5:00;56263,81032
4.18.17 6:00;51733,10052
4.18.17 7:00;50621,1387
4.18.17 8:00;49154,103
4.18.17 9:00;53054,07407
4.18.17 10:00;57829,64617
4.18.17 11:00;65064,70908
4.18.17 12:00;64159,0991
4.18.17 13:00;65012,12729
4.18.17 14:00;65158,72577
4.18.17 15:00;65130,57585
4.18.17 16:00;64713,88959
4.18.17 17:00;64254,44574
4.18.17 18:00;66693,22273
4.18.17 19:00;65231,76411
4.18.17 20:00;58308,48842
4.18.17 21:00;49858,95276
4.18.17 22:00;44902,52611
4.18.17 23:00;40343,93092
4.19.17 0:00;38166,74746
4.19.17 1:00;38789,25649
4.19.17 2:00;41728,11135
4.19.17 3:00;47159,91947
4.19.17 4:00;57133,32701
4.19.17 5:00;54121,44108
4.19.17 6:00;51297,31673
